"","ZIP5","STATE","CountyName","StFipsCo","FIPS","StateCd"
"1","00501","NY","SUFFOLK","NY103","36103","36"
"2","00544","NY","SUFFOLK","NY103","36103","36"
"3","01001","MA","HAMPDEN","MA013","25013","25"
"4","01002","MA","HAMPSHIRE","MA015","25015","25"
"5","01003","MA","HAMPSHIRE","MA015","25015","25"
"6","01004","MA","HAMPSHIRE","MA015","25015","25"
"7","01005","MA","WORCESTER","MA027","25027","25"
"8","01007","MA","HAMPSHIRE","MA015","25015","25"
"9","01008","MA","HAMPDEN","MA013","25013","25"
"10","01009","MA","HAMPDEN","MA013","25013","25"
"11","01010","MA","HAMPDEN","MA013","25013","25"
"12","01011","MA","HAMPDEN","MA013","25013","25"
"13","01012","MA","HAMPSHIRE","MA015","25015","25"
"14","01013","MA","HAMPDEN","MA013","25013","25"
"15","01014","MA","HAMPDEN","MA013","25013","25"
"16","01020","MA","HAMPDEN","MA013","25013","25"
"17","01021","MA","HAMPDEN","MA013","25013","25"
"18","01022","MA","HAMPDEN","MA013","25013","25"
"19","01026","MA","HAMPSHIRE","MA015","25015","25"
"20","01027","MA","HAMPSHIRE","MA015","25015","25"
"21","01028","MA","HAMPDEN","MA013","25013","25"
"22","01029","MA","BERKSHIRE","MA003","25003","25"
"23","01030","MA","HAMPDEN","MA013","25013","25"
"24","01031","MA","WORCESTER","MA027","25027","25"
"25","01032","MA","HAMPSHIRE","MA015","25015","25"
"26","01033","MA","HAMPSHIRE","MA015","25015","25"
"27","01034","MA","HAMPDEN","MA013","25013","25"
"28","01035","MA","HAMPSHIRE","MA015","25015","25"
"29","01036","MA","HAMPDEN","MA013","25013","25"
"30","01037","MA","WORCESTER","MA027","25027","25"
"31","01038","MA","HAMPSHIRE","MA015","25015","25"
"32","01039","MA","HAMPSHIRE","MA015","25015","25"
"33","01040","MA","HAMPDEN","MA013","25013","25"
"34","01041","MA","HAMPDEN","MA013","25013","25"
"35","01050","MA","HAMPSHIRE","MA015","25015","25"
"36","01053","MA","HAMPSHIRE","MA015","25015","25"
"37","01054","MA","FRANKLIN","MA011","25011","25"
"38","01056","MA","HAMPDEN","MA013","25013","25"
"39","01057","MA","HAMPDEN","MA013","25013","25"
"40","01059","MA","HAMPSHIRE","MA015","25015","25"
"41","01060","MA","HAMPSHIRE","MA015","25015","25"
"42","01061","MA","HAMPSHIRE","MA015","25015","25"
"43","01062","MA","HAMPSHIRE","MA015","25015","25"
"44","01063","MA","HAMPSHIRE","MA015","25015","25"
"45","01066","MA","FRANKLIN","MA011","25011","25"
"46","01068","MA","WORCESTER","MA027","25027","25"
"47","01069","MA","HAMPDEN","MA013","25013","25"
"48","01070","MA","HAMPSHIRE","MA015","25015","25"
"49","01071","MA","HAMPDEN","MA013","25013","25"
"50","01072","MA","FRANKLIN","MA011","25011","25"
"51","01073","MA","HAMPSHIRE","MA015","25015","25"
"52","01074","MA","WORCESTER","MA027","25027","25"
"53","01075","MA","HAMPSHIRE","MA015","25015","25"
"54","01077","MA","HAMPDEN","MA013","25013","25"
"55","01079","MA","HAMPDEN","MA013","25013","25"
"56","01080","MA","HAMPDEN","MA013","25013","25"
"57","01081","MA","HAMPDEN","MA013","25013","25"
"58","01082","MA","HAMPSHIRE","MA015","25015","25"
"59","01083","MA","WORCESTER","MA027","25027","25"
"60","01084","MA","HAMPSHIRE","MA015","25015","25"
"61","01085","MA","HAMPDEN","MA013","25013","25"
"62","01086","MA","HAMPDEN","MA013","25013","25"
"63","01088","MA","HAMPSHIRE","MA015","25015","25"
"64","01089","MA","HAMPDEN","MA013","25013","25"
"65","01090","MA","HAMPDEN","MA013","25013","25"
"66","01092","MA","WORCESTER","MA027","25027","25"
"67","01093","MA","FRANKLIN","MA011","25011","25"
"68","01094","MA","WORCESTER","MA027","25027","25"
"69","01095","MA","HAMPDEN","MA013","25013","25"
