"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"00998","United States (Metropolitan Portion)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",47985,48345,49081,50316,51467,52330,52616,51752,49833,50418,50691,51341,51857,52526
"10180","Abilene, TX (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",29354,30289,30949,31265,31028,32147,33427,34094,32364,32141,32798,35322,37077,37061
"10420","Akron, OH (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",38084,39326,40281,41640,42641,42520,42489,42284,39642,40375,41027,41554,41707,42769
"10500","Albany, GA (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",33560,33350,33898,33992,34533,33474,32762,31529,31698,30975,30462,30401,30470,30188
"10540","Albany, OR (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",27236,28172,27292,29359,29328,29978,28117,27693,26642,25646,25501,26390,26763,27314
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",46137,46220,47294,48462,48546,48754,47941,47709,48940,48978,48936,49673,50280,51350
"10740","Albuquerque, NM (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",44053,43075,45067,48582,47247,46400,44401,43919,43464,43358,43351,43602,43246,43097
"10780","Alexandria, LA (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",29488,30399,30639,32425,33417,34935,35802,35801,35082,35370,32593,32364,31546,30800
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",39389,39806,38654,38541,38826,38901,38771,38232,36734,37772,37918,38050,38477,39543
"11020","Altoona, PA (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",32043,32184,33104,33680,34540,34624,35164,34641,34521,34691,34427,34148,34640,35033
"11100","Amarillo, TX (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",35566,36081,36633,37246,37143,38667,39068,39702,39382,39346,38894,40132,41229,41952
"11180","Ames, IA (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",42139,41654,44079,45792,46131,48691,47826,53393,47675,50671,47678,45085,45231,45211
"11260","Anchorage, AK (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",60490,61949,60702,62251,63487,64352,66456,66323,71070,68438,68347,69883,67267,65838
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",56144,58950,59630,58686,58842,58123,58829,56877,53509,55050,53798,52512,53714,53217
"11500","Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",28062,29182,30219,32315,33024,33155,34180,34028,31623,32057,31719,30865,30215,29961
"11540","Appleton, WI (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",44775,43704,45343,46842,47115,46659,47167,45352,44800,44480,44968,45420,45816,46558
"11700","Asheville, NC (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",31676,32112,32486,33497,34035,34887,34070,34282,34079,33622,33098,33301,33524,33917
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",35350,34946,35390,35249,36337,35707,35470,35416,34820,34570,34293,34394,34329,34816
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",57305,56760,56677,56930,58044,57295,57287,55254,52180,51870,52079,51828,52389,53104
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",52263,53536,54396,53893,54981,55078,52619,50611,47585,47468,46506,46448,45734,44704
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",24422,25127,25679,27342,27715,27982,27892,28223,26884,27529,28307,27735,28560,29068
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","","1000","Per capita real GDP by metropolitan area","1","...","All industry total",36404,35987,36548,36193,36329,35380,34786,34166,33838,34281,34362,34075,33527,33402
