"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",10886,11564,12619,14863,15390,16957,19145,17403,18267,20641,21858,22193,23114,23795
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",9504,10131,11135,13357,13818,15375,17509,15710,16481,18769,20019,20313,21231,21867
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)",36,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",90,97,105,"(D)"
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",5,6,22,36,40,62,62,62,84,77,55,58,70,"(NA)"
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)",31,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",34,39,35,"(NA)"
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)",55,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",280,374,432,"(D)"
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",216,"(NA)"
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",23,"(NA)"
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(D)",33,41,"(D)",129,130,152,"(D)",107,"(D)","(D)",193,"(NA)"
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",280,294,351,414,473,435,417,399,494,499,495,583,599,671
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",809,802,884,831,951,1159,1300,1641,1545,1640,1783,1841,1576,1747
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",3296,3750,4363,6241,6103,6910,8711,6408,7214,9414,10467,10222,10906,10771
