"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",2716,2813,2836,3028,3342,3594,3660,3914,3851,4307,4669,4484,4597,4756
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",2249,2323,2315,2481,2758,2990,3041,3258,3148,3590,3951,3750,3866,4019
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",8,11,12,7,7,13,10,9,7,6,7,9,11,12
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms","(L)",3,5,"(L)","(L)",4,3,3,2,2,4,5,7,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities",8,8,7,7,7,9,8,7,5,4,3,4,3,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining",306,277,260,325,454,505,642,860,779,1068,1383,1120,1247,1441
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction",14,"(D)","(D)",19,35,33,30,44,"(D)","(D)","(D)",109,185,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)",252,225,"(D)","(D)","(D)","(D)",735,"(D)","(D)","(D)",959,"(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)",82,"(D)","(D)","(D)",52,"(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",41,41,39,42,39,44,46,45,51,68,71,41,43,43
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",123,115,110,131,136,155,153,147,133,137,140,143,137,130
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",114,112,104,125,153,168,148,142,122,125,182,208,199,190
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",97,100,92,112,139,"(D)",132,122,100,103,149,163,158,147
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing","(D)","(D)","(D)","(D)",33,31,23,12,"(D)","(D)",10,"(D)","(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing","(D)",2,3,3,3,5,5,5,4,4,4,5,4,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products",27,26,22,27,32,35,30,35,34,30,38,31,26,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing",7,8,6,6,8,9,7,10,9,10,17,18,19,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing","(D)","(D)",6,7,7,10,10,12,13,11,11,13,11,"(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)",31,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"13220","Beckley, WV (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(NA)"
