"15680","California-Lexington Park, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",3096,3390,3728,3949,4103,4431,4663,4782,5072,5466,5758,5765,5846,5892
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",1562,1770,2001,2164,2226,2363,2475,2543,2695,2849,2983,2998,2965,3013
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",20,4,"(D)",18,13,11,10,20,22,"(D)","(D)","(D)","(D)","(D)"
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",16,"(L)",11,14,9,7,5,15,18,14,25,19,18,"(NA)"
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities",4,4,"(D)",5,4,4,4,5,4,"(D)","(D)","(D)","(D)","(NA)"
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(L)",1,"(D)",1,2,2,2,"(L)","(L)","(D)","(D)","(D)","(D)","(D)"
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(L)",1,"(D)",1,2,2,2,"(L)","(L)","(D)","(D)","(D)","(D)","(NA)"
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",97,108,119,139,146,157,157,147,140,143,148,147,158,191
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",45,40,45,48,46,49,57,60,63,64,66,66,69,48
