"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",8309,8659,9016,9624,10311,10963,11455,12073,12154,12569,12913,13269,14016,14376
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",7184,7465,7756,8311,8920,9499,9946,10492,10501,10891,11224,11547,12290,12636
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",17,21
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",3,13,6,5,6,7,4,6,5,4,8,9,14,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",558,598
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",143,"(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",317,319
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",464,398,522,"(D)",600,"(D)",712,810,673,"(D)",646,761,756,788
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",1417,1502,1526,1728,1953,2131,2132,2185,2168,"(D)","(D)","(D)",3054,3205
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",587,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1326,"(D)"
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",19,"(NA)"
