"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",6797,7231,7659,8228,8667,9169,9462,9808,9904,10441,10400,11419,12569,13145
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",5494,5870,6216,6746,7087,7534,7722,7983,7982,8415,8348,9241,10319,10836
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",206,417,720,"(D)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",75,81,169,301,294,136,329,154,136,369,170,380,683,"(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",36,38,38,"(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",308,359,443,"(D)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",273,322,394,"(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas",4,5,6,"(D)",8,9,8,10,20,21,18,17,"(D)","(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining",4,2,"(D)","(D)",5,14,18,27,6,10,16,20,"(D)","(NA)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",262,295
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",280,276,"(D)",311,343,"(D)","(D)","(D)","(D)","(D)",487,554,"(D)","(D)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",447,436,"(D)",477,510,"(D)","(D)",448,"(D)","(D)",530,538,"(D)","(D)"
"31180","Lubbock, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",260,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",279,291
