"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",4400,4765,5212,5681,6365,6751,6997,7094,7025,7221,7064,6877,7170,7674
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",3396,3590,3938,4315,4976,5291,5444,5533,5395,5505,5377,5261,5609,6102
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",22,"(D)","(D)","(D)","(D)",20,21,19,18,24,22,25,28,30
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",2,1,1,1,1,1,1,1,1,2,1,1,2,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities",21,"(D)","(D)","(D)","(D)",19,19,18,17,22,21,24,26,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining",1,"(D)","(D)",2,"(D)",8,7,12,7,5,5,2,3,2
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(L)","(L)","(L)","(L)",1,1,1,1,1,1,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)",1,1,"(D)","(D)",7,11,6,"(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(L)","(L)","(L)","(L)","(D)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",83,103,107,"(D)",124,162,170,162,"(D)","(D)",210,184,191,187
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",296,298,332,408,550,619,579,488,369,370,376,329,342,348
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",184,227,249,258,273,334,359,410,361,346,336,352,392,420
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",235,246
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",7,"(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",8,11,9,"(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)",79,"(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products","(D)","(D)","(D)","(D)","(D)",22,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing",1,1,2,1,2,2,3,3,3,9,13,"(D)",9,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing",1,2,2,3,6,8,6,5,7,7,5,"(D)",5,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1,"(D)","(D)","(D)","(D)",1,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)",121,"(D)","(D)","(D)",100,"(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","23","337","    Furniture and related products manufacturing",5,5,5,6,8,7,4,3,3,2,1,"(D)",2,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","24","339","    Miscellaneous manufacturing",4,10,8,"(D)",9,10,9,7,10,5,5,"(D)",7,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","25","...","   Nondurable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",157,174
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing","(D)","(D)","(D)","(D)",1,"(D)","(D)","(D)","(D)","(D)",3,8,7,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","27","313-314","    Textile mills and textile product mills",1,"(D)",1,1,1,1,1,"(D)","(L)","(D)","(D)","(D)",1,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","30","323","    Printing and related support activities",10,12,"(D)","(D)",13,14,14,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","31","324","    Petroleum and coal products manufacturing","(L)","(L)","(D)","(L)","(L)","(L)","(L)","(L)","(D)","(L)","(L)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","32","325","    Chemical products manufacturing",6,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","33","326","    Plastics and rubber products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","34","42","  Wholesale trade",189,213,228,258,302,268,274,266,"(D)",259,265,257,273,283
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","35","44-45","  Retail trade",407,415,448,466,510,529,536,525,520,537,548,568,621,663
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","36","48-49","  Transportation and warehousing",97,84,100,"(D)",110,116,123,123,"(D)","(D)",203,213,216,219
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation","(D)","(D)","(D)",4,4,"(D)","(D)","(D)",2,8,10,"(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation",4,4,3,3,3,3,3,4,4,4,4,4,4,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation",16,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",28,44,26,"(D)",33,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation",35,"(D)","(D)",39,40,36,36,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation","(D)","(D)",4,5,4,4,3,2,3,5,5,"(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(L)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)",37,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",136,134,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage","(D)",3,3,2,"(D)",2,2,"(D)","(D)",2,"(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",104,120,161,228,286,282,"(D)",239,224,224,198,171,166,158
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)",14,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)",5,5,4,8,12,13,15,12,"(D)",10,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications",88,99,135,198,"(D)","(D)","(D)","(D)",179,176,158,"(D)",130,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",849,909,1005,1034,1251,1298,1451,1570,1638,1582,1416,1249,1428,1720
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",226,250,269,253,296,304,311,254,224,204,165,172,193,204
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",161,189,200,189,217,221,223,190,150,138,101,"(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments",14,"(D)","(D)",12,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)",49,57,50,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",50,"(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(D)",2,3,"(D)","(D)","(D)","(D)","(D)",1,"(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",622,660,736,782,955,994,1140,1317,1414,1378,1251,1076,1235,1516
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","57","531","    Real estate","(D)","(D)",590,"(D)",783,811,966,1143,1251,1257,"(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets","(D)","(D)",145,"(D)",172,183,174,174,163,121,"(D)","(D)","(D)","(NA)"
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","59","54, 55, 56","  Professional and business services",330,370,411,472,556,583,"(D)",579,608,632,628,612,605,656
"37460","Panama City, FL (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","60","54","   Professional, scientific, and technical services",178,207,238,294,348,363,352,354,373,397,404,377,350,366
