"41660","San Angelo, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",2769,2833,3024,3219,3351,3453,3577,3791,3663,3853,4151,4400,4737,5339
"41660","San Angelo, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",2184,2221,2377,2550,2669,2750,2854,3039,2852,2983,3249,3479,3836,4424
"41660","San Angelo, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)",35,23,51,73,49,"(D)",98
"41660","San Angelo, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",40,30,46,50,51,29,54,26,14,42,63,39,70,"(NA)"
"41660","San Angelo, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)",9,9,10,9,11,"(D)","(NA)"
"41660","San Angelo, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)","(D)",157,200,254,392,363,504,231,319,424,521,604,862
"41660","San Angelo, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"41660","San Angelo, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)",3,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"41660","San Angelo, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)",206,73,"(D)","(D)","(D)","(D)","(NA)"
"41660","San Angelo, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",51,51,55,57,54,52,103,94,109,104,110,85,92,"(D)"
"41660","San Angelo, TX (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",122,139,152,164,"(D)",187,181,159,161,162,"(D)","(D)","(D)","(D)"
