"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",15775,15890,16539,17563,18238,18914,19572,19281,19551,20281,20538,20756,21393,21980
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",13929,13965,14511,15425,16021,16614,17166,16784,16991,17695,17962,18202,18803,19370
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",35,39,45,43,38,49,29,33,35,31,22,28,27,30
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",25,28,34,28,24,32,14,18,22,17,8,13,11,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities",11,11,11,15,14,16,15,15,14,14,14,15,16,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining",45,45,"(D)",55,63,75,107,111,111,166,207,234,303,336
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(D)","(L)",1,1,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)",41,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",744,711,686,775,659,"(D)","(D)","(D)","(D)","(D)","(D)",896,939,"(D)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",581,610,645,681,722,745,763,671,610,602,660,674,685,750
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",2961,2819,2882,2812,2772,2976,2948,2945,3042,2934,2813,2880,3008,3049
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1187,1207
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",54,61,63,61,68,69,59,48,40,37,39,39,46,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",230,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)",78,"(D)",112,91,61,"(D)",90,"(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products","(D)","(D)","(D)","(D)",360,"(D)","(D)","(D)","(D)","(D)",373,"(D)",359,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing",86,61,59,57,"(D)","(D)","(D)",72,65,51,44,"(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing",290,172,"(D)","(D)",195,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",151,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing",72,62,"(D)",58,60,72,75,79,"(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","23","337","    Furniture and related products manufacturing","(D)",37,36,"(D)","(D)",32,32,30,26,28,34,35,41,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","24","339","    Miscellaneous manufacturing","(D)",161,"(D)","(D)","(D)","(D)","(D)",217,266,"(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","25","...","   Nondurable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1821,1842
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing",307,354,442,393,352,"(D)","(D)","(D)","(D)",486,"(D)","(D)",552,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","27","313-314","    Textile mills and textile product mills","(D)","(D)",51,60,"(D)","(D)","(D)",33,29,"(D)","(D)",36,36,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",6,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","30","323","    Printing and related support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","31","324","    Petroleum and coal products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","32","325","    Chemical products manufacturing","(D)","(D)","(D)",152,134,121,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","33","326","    Plastics and rubber products manufacturing",300,265,255,280,310,313,299,274,324,340,334,371,414,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","34","42","  Wholesale trade",943,1035,1159,1288,1382,"(D)","(D)","(D)","(D)","(D)","(D)",1338,1430,"(D)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","35","44-45","  Retail trade",1246,1285,1356,1371,1431,1458,1492,1490,1485,1542,1583,1612,1647,1669
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","36","48-49","  Transportation and warehousing",586,574,568,664,754,"(D)",793,805,848,923,981,1039,1062,1133
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","37","481","   Air transportation","(D)","(D)","(D)",9,10,5,7,6,"(D)","(D)",8,8,7,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","38","482","   Rail transportation",10,10,11,11,12,12,13,9,9,9,10,11,12,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","39","483","   Water transportation","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(L)","(L)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","40","484","   Truck transportation",337,309,304,294,306,302,316,273,263,271,305,313,328,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","41","485","   Transit and ground passenger transportation","(D)","(D)","(D)",64,63,62,61,62,64,64,66,64,65,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","42","486","   Pipeline transportation","(D)","(D)",3,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",7,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","44","493","   Warehousing and storage","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","45","51","  Information",769,853,"(D)",1129,1225,1195,1303,1049,956,930,816,738,653,632
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","47","512","   Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)",831,912,898,953,699,"(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",69,62,55,40,40,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",2110,1970,2045,2189,2206,2190,2251,2351,2459,2708,2815,2807,2931,2932
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","51","52","   Finance and insurance",1186,1040,1028,1109,1161,1121,1126,1102,1125,1085,1102,1076,1153,1220
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",621,522,482,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",377,414,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",113,"(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","54","524","    Insurance carriers and related activities","(D)",434,"(D)","(D)","(D)","(D)","(D)","(D)",615,586,"(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","56","53","   Real estate and rental and leasing",924,931,1017,1080,1044,1069,1126,1250,1334,1624,1713,1731,1778,1712
