"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",3131,3528,3693,4250,4515,4871,5347,5217,5287,5403,5520,5332,5478,5488
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",2233,2612,2687,3150,3332,3587,3951,3693,3705,3701,3738,3506,3677,3680
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)",824,792,"(D)","(D)",697,739,921,1069,778,877,841
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",350,502,361,545,515,419,530,362,411,554,680,384,479,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)",278,277,"(D)","(D)",336,327,366,389,394,398,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)","(D)","(D)",3,6,"(D)","(D)",4,4,4,4,4,6,8
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)",3,6,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",32,32,33,40,39,47,46,42,45,50,51,44,46,52
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",141,174,208,261,321,362,359,311,243,198,185,200,192,182
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",142,148,148,173,187,222,284,222,245,240,234,235,227,220
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",75,56,62,69,63,67,78,60,46,63,62,70,85,79
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",4,4,7,10,12,10,7,6,5,3,4,4,5,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",4,5,18,20,24,34,37,21,14,12,12,12,13,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products",3,8,6,8,8,6,6,6,5,4,6,6,8,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing","(D)","(D)","(D)","(D)","(D)",1,1,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing",3,5,3,3,2,1,6,4,"(L)",2,"(L)",5,5,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)",1,1,"(D)","(D)","(D)","(D)","(D)","(D)","(L)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","23","337","    Furniture and related products manufacturing",7,3,1,3,4,4,3,2,2,2,1,1,1,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","24","339","    Miscellaneous manufacturing",3,1,1,1,1,2,"(D)",2,"(D)","(D)",2,"(D)",2,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","25","...","   Nondurable goods manufacturing",67,92,86,104,124,154,206,162,199,176,172,165,142,142
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","27","313-314","    Textile mills and textile product mills",19,26,23,"(D)","(D)","(D)","(D)","(D)",2,5,6,8,4,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing",1,1,1,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(L)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","30","323","    Printing and related support activities",1,2,2,2,3,3,3,2,2,3,2,2,2,"(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","31","324","    Petroleum and coal products manufacturing","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(NA)"
"49740","Yuma, AZ (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","32","325","    Chemical products manufacturing",32,13,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",94,"(D)","(NA)"
