"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",4517,4660,5059,5598,6151,6667,7028,7105,6777,6767,7076,7362,7701,7742
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",4070,4169,4512,5009,5523,5997,6317,6340,5980,5937,6208,6487,6810,6814
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",85,93,106,115,122,141,141,152,166,175,188,181,182,"(NA)"
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(L)","(L)","(L)","(L)","(NA)"
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",128,116,128,147,150,182,195,217,199,235,256,217,226,233
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",287,302,300,348,472,539,624,566,478,407,384,429,448,437
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",80,99,107,97,109,129,113,82,76,76,72,84,86,82
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",23,30,31,34,38,49,49,27,"(D)",21,20,27,26,26
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",4,"(D)","(D)","(D)",4,"(D)",4,"(D)",3,"(D)","(D)","(D)","(D)","(NA)"
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",13,18,20,24,27,36,37,19,14,13,12,14,16,"(NA)"
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
